ID,dob,lname,fname,mname,sex,m_maiden
42,20090111,HEADEN MI COOS,AUDREY,SARA,F,HITCHINGS
46,20090114,HENSEN,QUINN,PATRICK,M,ERHART
44,20090116,HINSON,ALIYAH,SAYON,F,EDWARDSEN
47,20090114,HOFFMAN,MERRICK,PAGE,M,CALDWELL
48,20090111,HOLLAND,ADELINE,SKY,F,SILVA
49,20090113,HUNTINGTON,ABBY,GSYTY,F,BROWN
50,20090116,HUNTINGTON,KHA'LI'U,MICHAEL ALLEN,M,PARRISH
55,20090117,HURSEY,KELLEN,MICHAEL,M,ULAK
51,20090113,JACKSON,SIERRA,ZION,F,STEVEN
52,20090114,KEATS,PRECIOUS,ALESSANDRIA,F,POST
53,20090115,KEOBOU,NADILYN,ANNE,F,MORGAN
20,20090111,KOFFIN,ADRIENNE SOFIN,JEAN,F,
23,20090107,KOLE,ORIANA,LANE,F,HENRY
54,20090115,LEDOUX',MELLISSA,DENISE,F,DUNCAN
61,20090115,MAPDEN,HAYDEN,MICHAEL,M,MORRALL
89,20090120,MARTIN,CLARISSA,RAYE,F,TICKETT
92,20090122,MARTIN-OBEY,AYAH,SARA MINNIE,F,WASKA
62,20090125,MATTHEWS JR,HARLEN,MATHEW ,M,PAGE
56,20090117,MATTINGLY,MARY,EVOLET,F,NAYAKIK
64,20090117,MC MAHAN,CAYDEN,LJ,M,ALEXIE
40,20090107,MC'KINNEY II,BRAYDEN,PIERCE,M,MICHAEL
65,20090119,MC'VEY'UAP'TU,BENTLEY,LEE,M,GRANT
57,20090117,NANJO,LEXI,GABRIELLE,F,TINKER
59,20090120,NAYIK,LEILANI,GENE,F,BORDEN
60,20090113,NEALY,KYLIE,JAMIESON,F,PARKER
66,20090120,NELOPTR,ANDERS,JULIAN,M,FOLGER
63,20090113,NIHIAPPLI,KIOMARA,JAYNE JOYCE,F,CASTLEBERRY
67,20090117,O'KPESK,ARIANA,JO,F,EDWARDS
35,20090109,OLDWELL,DELAN,ROY,M,HAWORTH
69,20090118,PARKS,ALARRIA,JO,F,MCDOTT
74,20090126,PARKS,ADINA,KATE CHASE,F,KOHLER
75,20090126,PAVILLA,ADDYSIN,LINDSEY,F,FORD
81,20090120,QUEENIE,LEILA,MAKAYA,F,CORTEZ
83,20090121,READ,JULIANNA,MAY ROSE,F,KANNENBURG
82,20090127,REED,LEEANNE,MATALENA DIVINE,F,THONY
68,20090116,ROBERTS,TUCKER,JOSEPH,M,ROZMARK
70,20090116,ROSS,SIMON,JOSFF RAY,M,QUIDOL
71,20090111,RUNYANN,SHANE,JOHN,M,
84,20090121,SCHMIDT,JAMIE,MICHELLE,F,WHITMAN
72,20090110,SHELDON,PATRICK,JAMES,M,KELLY
85,20090120,SILVA',IDA,MOLLIMARIE,F,DAVID
87,20090123,SMITH,HAYLEY,NATASHA MARY,F,
73,20090122,SMITH,OWEN,JAMES,M,FRANCO
76,20090125,SPARRS,KAVIK,JEMIR,M,DEMARCO
88,20090124,SPENCER,GABRIELLA,NISENE,F,ORME
77,20090122,STONE JR,KAMERON,HONOR,M,DELLES
78,20090122,STREETER,JACOB,EMANUEL,M,TYRER
58,20090120,SURSEY,KEELYN,MICHAEL,M,ZACHAROF
91,20090121,TOMPKINS,BONNIE,ROSE,F,KAISER
79,20090122,TOTOO'OFF'SON,HAYDEN,ELLISON,M,MARSHALL
80,20090122,WALTON,ANDY,EDGAR,M,ONORATI
98,20090103,WEHR,MARY,TINKER,F,LAWRENCE
86,20090122,WEIMER,ANTHONY,DONAN,M,FISHER
99,20090122,WEST,ANGELA,WONDERFUL,F,WASHINGTON
90,20090120,WHELTON,DEREK,DAUN,M,MOUDRY
93,20090123,WHITE,ISAAC,DAVID,M,SIMMONDS
100,20090124,WHITMAN-LAKE,ALYCIA,FOUNDATION,F,EDWIN
94,20090124,WILSON JR,JEREMIAH,CHARLES,M,BENDIXEN
95,20090124,WOLFE,LEON,BRYCE,M,BLATCHFORD
96,20090125,ZACHMOS,MARVIN,BRENDON,M,HOLMSTOCK
97,20090105,ZOOK,SCOTT,ATHAN,M,WILDES
